name,brand,rating,price_bdt,release_year,os,display_inches,camera_megapixel,ram_gb,battery_mah
Lava Yuva 4,Lava,6.5,12000.0,"2024, November",Android 14,6.56,50,4,5000.0
Vivo S20 Pro,Vivo,8.5,60000.0,"2024, December 12",Android 15,6.67,50,12,5500.0
Vivo S20,Vivo,8.0,45000.0,"2024, December 06",Android 15,6.67,50,3,6500.0
Walton XANON X21,Walton,7.0,22856.0,"Exp. 2024, November",Android 14,6.8,64,16,5000.0
Meizu mBlu 21,Meizu,6.5,15000.0,"2024, November",Android 14,6.79,13,4,4900.0
Xiaomi Redmi K80 Pro,Xiaomi,9.4,73000.0,"2024, November 27",Android 15,6.67,50,8,6000.0
Xiaomi Redmi K80,Xiaomi,8.8,38000.0,"2024, November 27",Android 15,6.67,50,3,6550.0
Realme C75 4G,Realme,7.4,19999.0,"2024, December 01",Android 14,6.72,50,6,6000.0
Huawei Mate 70 RS Ultimate,Huawei,9.8,200000.0,"2024, December",HarmonyOS 4.3,6.9,50,16,5700.0
Huawei Mate 70 Pro+,Huawei,9.9,220000.0,"2024, November 26",HarmonyOS 4.3,6.9,50,16,5700.0
Huawei Mate 70 Pro,Huawei,9.4,195000.0,"2024, November 26",HarmonyOS 4.3,6.9,50,12,5500.0
Huawei Mate 70,Huawei,8.6,95000.0,"2024, November 26",HarmonyOS 4.3,6.7,50,12,5300.0
Huawei Mate X6,Huawei,9.4,220000.0,"2024, December 19",HarmonyOS 4.3,7.93,50,12,5110.0
Oppo Reno13 Pro,Oppo,8.6,65000.0,"2024, November 29",Android 15,6.83,50,12,5800.0
Oppo Reno13,Oppo,8.0,69990.0,"2024, November 29",Android 15,6.59,50,8,5600.0
Tecno Pop 9 4G,Tecno,5.5,10000.0,"2024, November 26",Android 14,6.67,13,3,5000.0
Blackview Wave 8C,Blackview,5.4,10000.0,"2024, November",Android 14,6.56,13,2,5000.0
Blackview Wave 8,Blackview,5.8,12000.0,"2024, November",Android 14,6.56,13,4,5000.0
ZTE Blade V70 Design,ZTE,6.4,11999.0,"2024, November 28",Android 14,6.7,50,4,5000.0
Sonim XP Pro,Sonim,5.0,70000.0,"2024, November 21",Android 14,6.58,50,3,5000.0
Vivo Y300,Vivo,7.1,35000.0,"2024, November 26",Android 14,6.67,50,2,5000.0
Honor Play9A,Honor,5.3,15000.0,"2024, November",Android 14,6.56,13,4,5200.0
Asus ROG Phone 9 Pro,Asus,9.8,145000.0,"2024, November 20",Android 15,6.78,50,8,5800.0
Asus ROG Phone 9,Asus,8.9,135000.0,"2024, November 20",Android 15,6.78,50,8,5800.0
Vivo V50,Vivo,7.6,62999.0,"2025, February 25",Android 15,6.77,50,3,6000.0
ZTE Blade V70,ZTE,6.8,0.0,"2025, January",Android 14,6.7,108,8,5000.0
ZTE nubia Red Magic 10 Pro+,ZTE,9.5,125000.0,"2024, November 18",Android 15,6.85,50,8,7050.0
ZTE nubia Red Magic 10 Pro,ZTE,9.0,105000.0,"2024, November 18",Android 15,6.85,50,8,7050.0
Vivo Y18t,Vivo,5.9,15000.0,"2024, November 12",Android 14,6.56,50,4,5000.0
Itel S25 Ultra,Itel,7.6,17990.0,"2024, November",Android 14,6.78,50,8,5000.0
Itel S25,Itel,7.6,13990.0,"2024, November",Android 14,6.78,50,6,5000.0
Sharp Aquos sense9,Sharp,8.4,45000.0,"2024, November 07",Android 14,6.1,50,2,5000.0
Honor X9c,Honor,7.9,44999.0,"2024, November 15",Android 14,6.78,108,1,6600.0
Oukitel C58 Pro,Oukitel,6.4,25000.0,"2024, November",Android 14,6.7,50,6,5150.0
Oukitel C58,Oukitel,6.1,20000.0,"2024, November",Android 14,6.7,13,4,5150.0
Oukitel P1,Oukitel,7.0,25000.0,"2024, November",Android 14,6.7,50,4,5150.0
Ulefone Armor 27T,Ulefone,7.8,40000.0,"2024, November",Android 14,6.78,64,12,10600.0
Ulefone Note 18 Pro,Ulefone,6.6,0.0,"2024, November",Android 14,6.78,64,6,5450.0
Ulefone Armor 27,Ulefone,7.5,35000.0,"2024, November",Android 14,6.78,64,12,10600.0
Realme GT7 Pro,Realme,9.1,78000.0,"2024, November 04",Android 15,6.78,50,8,6500.0
Vivo V40 Lite 4G,Vivo,6.8,26999.0,"2024, November 05",Android 14,6.67,50,2,5000.0
Cubot KingKong X Pro,Cubot,8.1,40000.0,"2024, November",Android 14,6.72,100,12,10200.0
Nokia 125 4G (2024),Nokia,7.1,0.0,"2024, November",,2.0,1,0,1000.0
Nokia 108 4G (2024),Nokia,7.0,0.0,"2024, November",,2.0,1,0,1000.0
OnePlus 13,OnePlus,9.0,90000.0,"2024, November 01",Android 15,6.82,50,8,6000.0
Honor Magic7 Pro,Honor,9.8,108000.0,"2024, November 08",Android 15,6.8,200,8,5850.0
Vivo iQOO 13,Vivo,9.0,70000.0,"2024, November 08",Android 15,6.82,50,8,6150.0
Honor Magic7,Honor,8.9,100000.0,"2024, November 08",Android 15,6.78,50,8,5650.0
Sharp Aquos R9 Pro,Sharp,9.0,150000.0,"2025, February",Android 14,6.7,50,3,5000.0
Xiaomi 15 Pro,Xiaomi,10.0,105000.0,"2024, October 29",Android 15,6.73,50,8,6100.0
Xiaomi 15,Xiaomi,9.1,85000.0,"2024, October 29",Android 15,6.36,50,8,5240.0
Nokia 110 4G (2024),Nokia,6.9,0.0,"Exp. release 2024, November",,2.0,1,0,1000.0
Xiaomi Poco C75,Xiaomi,7.0,20000.0,"2024, November 05",Android 14,6.88,50,6,5160.0
Sonim XP100,Sonim,6.9,15000.0,"2024, October 24",,2.4,2,0,1800.0
Oppo Find X8 Pro,Oppo,9.1,96000.0,"2024, October 30",Android 15,6.78,50,12,5910.0
Oppo Find X8,Oppo,9.0,80000.0,"2024, October 30",Android 15,6.59,50,12,5630.0
Huawei Nova 13 Pro,Huawei,8.6,65000.0,"2024, October 25",HarmonyOS 4.2,6.76,50,0,5000.0
Huawei Nova 13,Huawei,7.9,50000.0,"2024, October 25",HarmonyOS 4.2,6.7,50,0,5000.0
Honor X5b Plus,Honor,6.3,10999.0,"2024, October",Android 14,6.56,50,4,5200.0
Honor X5b,Honor,5.8,9999.0,"2024, October",Android 14,6.56,13,4,5200.0
Blackview Shark 9,Blackview,7.1,0.0,"2024, November",Android 14,6.67,50,8,5000.0
Samsung Galaxy Z Fold Special,Samsung,9.1,250000.0,"2024, October 24",Android 14,8.0,200,3,4400.0
Oscal Tiger 13,Oscal,7.1,18000.0,"2024, October 21",Android 14,6.67,50,8,5000.0
Infinix Hot 50 Pro+ 4G,Infinix,7.9,22999.0,"2024, November",Android 14,6.78,50,8,5000.0
Infinix Hot 50 Pro 4G,Infinix,7.3,18999.0,"2024, October 27",Android 14,6.78,50,8,5000.0
Honor X7c 4G,Honor,7.0,22999.0,"2024, October 18",Android 14,6.77,108,6,6000.0
Xiaomi Redmi A4,Xiaomi,6.9,15000.0,"2024, November 27",Android 14,6.88,50,2,5160.0
Oukitel C57 Pro,Oukitel,5.4,20000.0,"2024, October",Android 14,6.52,13,4,4300.0
Honor X60 Pro,Honor,8.0,30000.0,"2024, October 25",Android 14,6.8,108,1,6600.0
Honor X60,Honor,6.5,25000.0,"2024, October 25",Android 14,6.8,108,8,5800.0
Vivo Y300 Plus,Vivo,7.4,35000.0,"2024, October 16",Android 14,6.78,50,5,5000.0
Realme P1 Speed,Realme,7.1,26000.0,"2024, October 20",Android 14,6.67,50,8,5000.0
Vivo Y19s,Vivo,5.9,14999.0,"2024, October 19",Android 14,6.68,50,4,5500.0
Tecno Megapad,Tecno,6.8,0.0,"2024, November",Android 14,10.1,13,4,7000.0
Xiaomi Redmi A3 Pro,Xiaomi,6.1,15000.0,"2024, October",Android 14,6.88,50,4,5160.0
Vivo X200 Pro mini,Vivo,8.5,78000.0,"2024, October 25",Android 15,6.31,200,12,5700.0
Vivo X200 Pro,Vivo,9.1,90000.0,"2024, October 19",Android 15,6.78,200,12,6000.0
Vivo X200,Vivo,8.8,139999.0,"2024, October 19",Android 15,6.67,50,12,5800.0
Oppo K12 Plus,Oppo,7.6,35000.0,"2024, October 15",Android 14,6.7,50,3,6400.0
TCL Flip 3,TCL,7.6,12000.0,2024,KaiOS 3.1,3.2,5,1,1850.0
TCL Flip 2,TCL,7.1,10000.0,2024,,2.8,2,1,1850.0
TCL Classic,TCL,6.6,10000.0,2024,,2.8,2,0,1850.0
TCL Flip,TCL,7.5,12000.0,2024,KaiOS 3.0,2.8,2,0,1850.0
Tecno Camon 30S,Tecno,7.0,24999.0,"2024, October 10",Android 14,6.78,50,6,5000.0
Oukitel WP36 Pro,Oukitel,6.1,30000.0,"2024, November",Android 14,6.52,13,6,10600.0
Doogee V40 Pro,Doogee,8.6,70000.0,"2024, September 25",Android 14,6.78,200,16,8680.0
Samsung Galaxy A16 5G,Samsung,7.4,23999.0,"2024, October 25",Android 14,6.7,50,4,5000.0
Lava Agni 3,Lava,7.5,35000.0,"2024, October 09",Android 14,6.78,50,8,5000.0
Doogee S200,Doogee,9.0,50000.0,"2024, September",Android 14,6.72,100,12,10100.0
Doogee Blade10 Max,Doogee,7.3,40000.0,"Exp. release 2024, October 30",Android 14,6.56,50,8,10300.0
Doogee Blade10 Ultra,Doogee,6.5,35000.0,"2024, September",Android 14,6.56,50,8,5150.0
Doogee Blade10 Pro,Doogee,6.0,30000.0,"2024, September",Android 14,6.56,16,6,5150.0
Doogee Blade10,Doogee,5.5,25000.0,"2024, September",Android 14,6.56,16,4,5150.0
Doogee S Cyber,Doogee,7.1,40000.0,"2024, June",Android 14,6.58,50,8,10800.0
Doogee S Punk,Doogee,7.5,40000.0,"2024, June",Android 14,6.58,50,6,10800.0
Doogee S118,Doogee,7.8,45000.0,"2024, June",Android 14,6.58,50,8,10800.0
Walton NEXG N74,Walton,6.5,13445.0,"2024, October",Android 14,6.8,52,8,5000.0
Tecno Spark 30C 5G,Tecno,7.1,0.0,"2024, October",Android 14,6.67,48,4,5000.0
Tecno Spark 30 5G,Tecno,7.3,0.0,"2024, October",Android 14,6.67,108,6,5000.0
Doogee V Max Plus,Doogee,8.8,70000.0,"2024, August",Android 14,6.58,200,16,22000.0
Doogee S41 Max,Doogee,6.6,35000.0,"2023, December",Android 13,5.5,13,6,6300.0
Doogee S41 Plus,Doogee,6.5,20000.0,"2023, December",Android 13,5.5,13,4,6300.0
Doogee S41T,Doogee,6.0,30000.0,"2023, December",Android 13,5.5,13,4,6300.0
ZTE Blade V60,ZTE,6.3,15000.0,"2024, October",Android 13,6.72,50,6,5000.0
ZTE Blade A55,ZTE,5.4,9199.0,"2024, July",Android 14,6.75,13,1,5000.0
ZTE Blade V60 Design,ZTE,6.1,15000.0,"2024, June",Android 13,6.6,50,4,5000.0
ZTE Blade A75 4G,ZTE,6.3,15000.0,"2024, July",Android 13,6.6,50,4,5000.0
ZTE Blade A75,ZTE,6.4,20000.0,"2024, September",Android 13,6.6,50,4,5000.0
Motorola ThinkPhone 25,Motorola,7.5,70000.0,"2024, November 11",Android 14,6.36,50,8,4310.0
Motorola Moto G75,Motorola,7.1,30000.0,"2024, October 28",Android 14,6.78,50,3,5000.0
Cubot A20,Cubot,5.8,0.0,"2024, September",Android 14,6.75,48,4,5100.0
Cubot KingKong Power 3,Cubot,7.4,20000.0,"2024, October",Android 14,6.72,100,12,10200.0
Cubot KingKong Star 2,Cubot,7.8,30000.0,"2024, October",Android 14,6.72,100,12,5100.0
Infinix Hot 50 4G,Infinix,6.4,15999.0,"2024, October 29",Android 14,6.78,50,6,5000.0
Meizu Lucky 08,Meizu,7.5,40000.0,"2024, September 27",,6.78,108,2,6000.0
Honor Play9C,Honor,6.3,15000.0,"2024, September 26",Android 14,6.56,13,6,5200.0
Xiaomi Redmi Note 14 Pro+ 5G (India),Xiaomi,9.0,40000.0,"2024, September 26",Android 14,6.67,50,3,6200.0
Xiaomi Redmi Note 14 Pro 5G (India),Xiaomi,8.3,30000.0,"2024, September 26",Android 14,6.67,50,8,5500.0
Xiaomi Redmi Note 14 (China),Xiaomi,8.1,26000.0,"2024, September 26",Android 14,6.67,50,8,5110.0
Xiaomi 14T Pro,Xiaomi,9.3,82000.0,"2024, September 26",Android 14,6.67,50,12,5500.0
Xiaomi 14T,Xiaomi,8.1,52000.0,"2024, September 26",Android 14,6.67,50,12,5500.0
Samsung Galaxy S24 FE,Samsung,8.3,99999.0,"2024, October 03",Android 14,6.7,50,8,4700.0
Vivo V40 Lite 4G (IDN),Vivo,7.0,25000.0,"2024, September 25",Android 14,6.67,50,8,5000.0
Vivo V40 Lite (IDN),Vivo,6.9,30000.0,"2024, September 25",Android 14,6.67,50,2,5000.0
Vivo V40e,Vivo,7.4,37000.0,"2024, October 02",Android 14,6.77,50,8,5500.0
Tecno Pop 9,Tecno,7.8,15000.0,"2024, October 08",Android 14,6.6,48,4,5000.0
Samsung Galaxy M55s,Samsung,7.5,29000.0,"2024, September 26",Android 14,6.7,50,1,5000.0
Vivo iQOO Z9 Turbo+,Vivo,8.3,42000.0,"2024, September 24",Android 14,6.78,50,12,6400.0
Tecno Spark 30 Pro,Tecno,6.9,19999.0,"2024, October",Android 14,6.78,108,8,5000.0
ZTE Blade A35,ZTE,5.8,7999.0,"2024, October",Android 14,6.75,8,1,5000.0
Oukitel WP35 S,Oukitel,7.0,30000.0,"2024, September",Android 14,6.56,50,6,11000.0
Tecno Spark 30,Tecno,7.4,14999.0,"2024, October",Android 14,6.78,64,4,5000.0
Infinix Hot 50i,Infinix,6.5,13999.0,"2024, September",Android 14,6.7,48,4,5000.0
Helio 90,Helio,7.4,16999.0,"2024, October",Android 14,6.7,64,8,5000.0
Walton NEXG N26,Walton,7.1,14999.0,"2024, October 02",Android 14,6.6,50,8,5000.0
Doogee V Max Pro,Doogee,8.0,70000.0,"2024, October 20",Android 14,6.58,108,12,22000.0
Coolpad C16,Coolpad,6.0,0.0,"2024, September",Android 14,6.75,50,4,5000.0
Ulefone Note 19,Ulefone,6.1,15000.0,"2024, September",Android 14,6.56,8,3,5000.0
Ulefone Note 20 Pro,Ulefone,6.1,20000.0,"2024, September",Android 14,6.75,50,4,6000.0
Ulefone Armor Mini 20 Pro,Ulefone,7.1,50000.0,"2024, September",Android 14,4.7,50,8,6200.0
Infinix Smart 9,Infinix,6.4,9999.0,"2024, September 19",Android 14,6.7,13,3,5000.0
Infinix Zero Flip,Infinix,7.5,80000.0,"2024, October",Android 14,6.9,50,8,4720.0
Samsung Galaxy F05,Samsung,5.8,11000.0,"2024, September 20",Android 14,6.7,50,4,5000.0
Itel A80,Itel,6.4,9990.0,"2024, September",Android 14,6.7,50,3,5000.0
Lava Blaze 3 5G,Lava,6.8,15000.0,"2024, September 18",Android 14,6.56,50,6,5000.0
Xiaomi Redmi 14R,Xiaomi,7.1,20000.0,"2024, September",Android 14,6.88,13,2,5160.0
HMD 105 4G,HMD,7.5,4000.0,"2024, September 22",,2.4,0,0,1450.0
HMD 110 4G,HMD,7.9,0.0,"2024, September 22",,2.4,1,0,1450.0
Meizu Note 21 Pro,Meizu,6.5,0.0,"2024, October",,6.78,64,8,5000.0
Meizu Note 21,Meizu,5.8,0.0,"2024, October",,6.74,50,8,6000.0
Tecno Phantom V Flip2,Tecno,7.8,0.0,"2024, September",Android 14,6.9,50,8,4720.0
Tecno Phantom V Fold2,Tecno,8.0,139999.0,"2024, October",Android 14,7.85,50,12,5750.0
Realme P2 Pro,Realme,8.1,29000.0,"2024, September 17",Android 14,6.7,50,2,5200.0
Tecno Pova 6 Neo 5G,Tecno,7.3,20000.0,"2024, September 14",Android 14,6.67,108,6,5000.0
Umidigi G9T,Umidigi,5.5,10990.0,"2024, September",Android 14,6.75,13,4,5000.0
Umidigi G9C,Umidigi,6.3,12990.0,"2024, September",Android 14,6.75,50,6,5000.0
Umidigi G9A,Umidigi,5.5,8990.0,"2024, September",Android 14,6.75,13,4,5000.0
Samsung Galaxy M05,Samsung,5.5,11000.0,"2024, September 10",Android 14,6.7,50,4,5000.0
Vivo T3 Ultra,Vivo,8.5,46000.0,"2024, September 19",Android 14,6.78,50,8,5500.0
Huawei Mate XT Ultimate,Huawei,9.5,480000.0,"2024, September 20",HarmonyOS 4.2,10.2,50,16,5600.0
Oukitel G2,Oukitel,5.8,25000.0,"2024, September",Android 14,6.0,13,4,6300.0
Oukitel G1,Oukitel,6.9,30000.0,"2024, September",Android 14,6.52,13,6,10600.0
Tecno Spark 30C,Tecno,6.5,12999.0,"2024, September 26",Android 14,6.67,50,4,5000.0
Apple iPhone 16 Pro Max,Apple,10.0,219999.0,"2024, September 20",iOS 18,6.9,48,8,
Apple iPhone 16 Pro,Apple,9.9,184999.0,"2024, September 20",iOS 18,6.3,48,8,
Apple iPhone 16 Plus,Apple,7.6,164999.0,"2024, September 20",iOS 18,6.7,48,8,4674.0
Apple iPhone 16,Apple,8.3,146999.0,"2024, September 20",iOS 18,6.1,48,8,3561.0
Realme Narzo 70 Turbo,Realme,7.9,23000.0,"2024, September 16",Android 14,6.67,50,6,5000.0
Philips S6206,Philips,5.8,15000.0,"2024, September",Android 14,6.79,48,6,4920.0
Honor Play9T,Honor,7.0,20000.0,"2024, September 06",Android 14,6.77,50,2,6000.0
Vivo Y37 Pro,Vivo,6.5,32000.0,"2024, September",Android 14,6.68,50,2,6000.0
ZTE nubia RedMagic Nova,ZTE,7.8,90000.0,"2024, September 05",Android 14,10.9,50,3,10100.0
Infinix Hot 50,Infinix,7.1,18000.0,"2024, October",Android 14,6.7,48,4,5000.0
HMD Fusion,HMD,7.1,35000.0,"2024, September 11",Android 14,6.56,108,2,5000.0
Vivo Y300 Pro,Vivo,7.4,30000.0,"2024, September 14",Android 14,6.77,50,1,6500.0
Ulefone Armor Mini 20,Ulefone,7.0,0.0,"2024, September",Android 14,4.7,64,6,6200.0
Oppo Find N5,Oppo,8.0,215000.0,"2025, February 26",Android 15,8.12,50,8,5600.0
TCL 50 XE NxtPaper,TCL,5.8,0.0,"2024, July",Android 14,6.56,50,4,5010.0
TCL 50 Pro NxtPaper,TCL,7.8,40000.0,"2024, September",Android 14,6.8,108,8,5010.0
TCL 50 NxtPaper,TCL,7.3,30000.0,"2024, September",Android 14,6.8,108,8,5010.0
Ulefone Armor Mini 20T Pro,Ulefone,6.9,50000.0,"2024, October",Android 14,4.7,50,8,6200.0
Ulefone Armor 28 Ultra Thermal,Ulefone,9.4,180000.0,"2025, March 17",Android 15,6.67,64,16,10600.0
Benco V91 Plus,Benco,6.9,12499.0,"2024, September",Android 13,6.56,50,6,5000.0
Benco V91c,Benco,6.1,9999.0,"2024, September 04",Android 13,6.56,13,4,5000.0
Oppo A80,Oppo,6.6,30000.0,"2024, August 14",Android 14,6.67,50,8,5100.0
Xiaomi Redmi 14C,Xiaomi,6.9,12999.0,"2024, August",Android 14,6.88,50,4,5160.0
Realme Note 60,Realme,6.0,11999.0,"2024, August 30",Android 14,6.74,32,4,5000.0
Motorola Moto G55,Motorola,6.8,35000.0,"2024, September",Android 14,6.49,50,8,5000.0
Motorola Moto G35,Motorola,6.3,16000.0,"2024, September",Android 14,6.72,50,4,5000.0
Symphony ATOM 5,Symphony,6.5,7999.0,"2024, September 01",Android 14,6.74,52,1,5000.0
Symphony G27 Lite,Symphony,5.5,7399.0,"2024, August",Android 14,6.56,5,2,4000.0
Infinix Zero 40 4G,Infinix,7.8,35000.0,"2024, September",Android 14,6.78,108,8,5000.0
Motorola Edge 50 Neo,Motorola,7.5,32000.0,"2024, August 29",Android 14,6.4,50,8,4310.0
Realme 13,Realme,7.0,23000.0,"2024, September 06",Android 14,6.72,50,8,5000.0
Realme 13+,Realme,8.8,31000.0,"2024, September 06",Android 14,6.67,50,8,5000.0
HMD Barbie,HMD,7.3,20000.0,"2024, August 28",KaiOS,2.8,3,0,1450.0
Vivo T3 Pro,Vivo,7.5,37000.0,"2024, September 03",Android 14,6.77,50,3,5500.0
Umidigi G9 5G,Umidigi,6.6,14990.0,"2024, July",Android 14,6.75,50,6,5000.0
Walton NEXG N10,Walton,6.5,15999.0,"2024, August 25",Android 14,6.7,50,8,5000.0
Tecno Spark Go 1,Tecno,6.3,10999.0,"2024, August 19",Android 14,6.67,13,3,5000.0
Honor 200 Smart,Honor,7.1,26000.0,"2024, September",Android 14,6.8,50,2,5200.0
Vivo iQOO Z9s Pro,Vivo,7.8,36000.0,"2024, August 23",Android 14,6.77,50,3,5500.0
Vivo iQOO Z9s,Vivo,7.0,27000.0,"2024, August 23",Android 14,6.77,50,8,5500.0
ZTE Nubia Z70 Ultra,ZTE,9.0,82000.0,"2024, November 25",Android 15,6.85,64,8,6150.0
Cubot KingKong ES,Cubot,7.0,32000.0,"2024, August",Android 14,6.56,48,6,5100.0
Oppo A3 4G,Oppo,6.3,18990.0,"2024, August 20",Android 14,6.67,50,1,5100.0
Oppo A3x 4G,Oppo,5.9,12990.0,"2024, August 20",Android 14,6.67,8,1,5100.0
Oppo F27,Oppo,7.0,35000.0,"2024, August 20",Android 14,6.67,50,8,5000.0
Oppo A3,Oppo,6.8,25000.0,"2024, August 20",Android 14,6.67,50,6,5100.0
Vivo Y03t,Vivo,5.3,10499.0,"2024, August 19",Android 14,6.56,13,4,5000.0
Symphony D54 Pro,Symphony,6.8,1550.0,"2024, August",,2.4,0,0,1200.0
Symphony B80,Symphony,5.5,990.0,"2024, August",,1.77,0,0,1000.0
Walton Orbit Y70c,Walton,6.0,9047.0,"2024, August",Android 13,6.6,8,6,5000.0
Motorola Moto G45,Motorola,6.6,19000.0,"2024, August 28",Android 14,6.5,50,3,5000.0
Google Pixel 9 Pro XL,Google,10.0,104000.0,"2024, August 22",Android 14,6.8,50,4,5060.0
Google Pixel 9 Pro,Google,9.8,93000.0,"2024, September 09",Android 14,6.3,50,4,4700.0
Google Pixel 9,Google,8.9,70000.0,"2024, August 22",Android 14,6.3,50,4,4700.0
Google Pixel 9 Pro Fold,Google,9.0,222000.0,"2024, September 04",Android 14,8.0,48,4,4650.0
Realme C63 5G,Realme,6.3,18000.0,"2024, August 19",Android 14,6.67,32,4,5000.0
Infinix Xpad,Infinix,7.1,24000.0,"2024, August 18",Android 14,11.0,8,4,7000.0
Symphony G27,Symphony,5.8,7999.0,"2024, August 10",Android 14,6.56,8,3,5000.0
Itel P65,Itel,6.3,15000.0,"2024, August 08",Android 14,6.7,50,4,5000.0
Oppo A3x,Oppo,6.1,20000.0,"2024, August 02",Android 14,6.67,8,4,5100.0
Motorola Moto S50,Motorola,6.4,40000.0,"2024, September 05",Android 14,6.36,50,12,4310.0
Vivo V40 Pro,Vivo,8.4,62000.0,"2024, August 23",Android 14,6.78,50,8,5500.0
Lava Yuva Star,Lava,6.1,10000.0,"2024, August",Android 14,6.75,13,4,5000.0
Infinix Note 40X 5G,Infinix,7.3,20000.0,"2024, August 9",Android 14,6.78,108,8,5000.0
Huawei nova Flip,Huawei,8.1,90000.0,"2024, August 10",HarmonyOS 4.2,6.94,50,0,4440.0
Infinix Zero 40,Infinix,8.6,50000.0,"2024, August 29",Android 14,6.78,108,12,5000.0
Itel A50C,Itel,5.9,6990.0,"2024, August",Android 14,6.56,8,2,4000.0
Itel A06,Itel,6.0,0.0,"2024, August",Android 14,6.56,8,2,4000.0
Samsung Galaxy F14 4G,Samsung,6.6,13000.0,"2024, September 05",Android 14,6.7,50,4,5000.0
Realme 13 4G,Realme,7.1,25000.0,"2024, August 08",Android 14,6.67,50,8,5000.0
Samsung Galaxy A16,Samsung,7.0,18500.0,"2024, November 20",Android 14,6.7,50,4,5000.0
Ulefone Armor 27 Pro,Ulefone,8.1,35000.0,"2024, August 1",Android 14,6.78,64,12,10600.0
Motorola Edge 50,Motorola,8.0,34000.0,"2024, August 8",Android 14,6.7,50,1,5000.0
Xiaomi Poco M6 Plus,Xiaomi,7.4,17000.0,"2024, August 5",Android 14,6.79,108,2,5030.0
